gid,genus,species,x,y
774578,Quercus,acutifolia,-98.225,20.3416666666667
774579,Quercus,acutifolia,-92.45,16.5305555555556
774580,Quercus,acutifolia,-97.68,17.268
774581,Quercus,acutifolia,-97.675,17.275
774582,Quercus,acutifolia,-97.235,16.2719444444444
774583,Quercus,acutifolia,-96.9433333333333,19.5125
774584,Quercus,acutifolia,-98.7752777777778,20.7555555555556
774585,Quercus,acutifolia,-98.821666666667,19.476666666667
774586,Quercus,acutifolia,-99.104444444444,21.232222222222
774587,Quercus,acutifolia,-100.419166666667,20.2194444444444
774588,Quercus,acutifolia,-99.8847222222222,17.7491666666667
774589,Quercus,acutifolia,-98.7680555555555,19.1155555555556
774591,Quercus,acutifolia,-98.725,20.785
774592,Quercus,acutifolia,-97.366,18.066
774594,Quercus,acutifolia,-93.09,15.7727777777778
774595,Quercus,acutifolia,-103.378333333333,19.2516666666667
774596,Quercus,acutifolia,-92.7055555555555,15.6955555555556
774597,Quercus,acutifolia,-99.6583333333333,17.525
774598,Quercus,acutifolia,-97.437575,17.5826638888889
774599,Quercus,acutifolia,-92.3527777777778,16.3722222222222
774600,Quercus,acutifolia,-99.116666666667,21.291666666667
774601,Quercus,acutifolia,-99.84,17.651666666667
774602,Quercus,acutifolia,-104.983,21.505
774603,Quercus,acutifolia,-97.995555555556,17.349166666667
774604,Quercus,acutifolia,-103.705,19.4569444444444
774605,Quercus,acutifolia,-100.82694444444,19.858333333333
774606,Quercus,acutifolia,-101.8,19.4633333333333
774607,Quercus,acutifolia,-100.175,19.8583333333333
774608,Quercus,acutifolia,-97.0525,16.3133333333333
774609,Quercus,acutifolia,-103.7067,19.465
774610,Quercus,acutifolia,-93,15.98
774611,Quercus,acutifolia,-96.25,17.08333
774612,Quercus,acutifolia,-97.4166666666667,17.7
774613,Quercus,acutifolia,-92.8861111111111,17.1638888888889
774614,Quercus,acutifolia,-96.875,19.5583333333333
774615,Quercus,acutifolia,-99.7214083333333,17.5345166666667
774616,Quercus,acutifolia,-100.85722222222,19.716944444444
774617,Quercus,acutifolia,-103.707,19.465
774618,Quercus,acutifolia,-103.378,19.252
774619,Quercus,acutifolia,-106.558333333333,25.4583333333333
774620,Quercus,acutifolia,-104.561388888889,19.4458333333333
